nm9430206&Frank deKova&
nm9430207&Carla DelPoggio&
nm9430208&Robert Deman&
nm9430209&Maria deMadeiros&
nm9430210&Rebecca deMorney&
nm9430211&Raymond Denny&
nm9430212&Rossy dePalma&
nm9430213&Elisabeth Depardieu&
nm9430214&Frederic dePasquale&
nm9430215&Joe deRita&
nm9430216&Cleavant Derricks&
nm9430217&Anne DeSalvo&
nm9430218&Joe DeSantis&
nm9430219&Ed DeStefane&
nm9430220&Maruschka Detmers&
nm9430221&William Devane&
nm9430222&William Devane&
nm9430223&Danny deVito&
nm9430224&Joe Devlin&
nm9430225&William Devlin&
nm9430226&Patrick Dewaere&
nm9430227&William Dewhurst&
nm9430228&Billy DeWolf&
nm9430229&Elliot Dexter&
nm9430230&Susan Dey&
nm9430231&Selma Diamond&
nm9430232&Bobby DiCicco&
nm9430233&Lucinda Dickey&
nm9430234&Arthur Dignam&
nm9430235&Richard Dimbleby&
nm9430236&Piero DiOrio&
nm9430237&Dante DiPaolo&
nm9430238&Bob Dishy&
nm9430239&Divine&
nm9430240&Loretta Divine&
nm9430241&Donna Dixon&
nm9430242&Ivan Dixon&
nm9430243&Gitty Djamal&
nm9430244&Joe Dobisch&
nm9430245&William Doherty&
nm9430246&Arturo Dominici&
nm9430247&Peter Donat&
nm9430248&Ruth Donelly&
nm9430249&Donal Donnelly&
nm9430250&Patrice Donnelly&
nm9430251&King Donovan&
nm9430252&James Doohan&
nm9430253&Robert Doqui&
nm9430254&Karin Dor&
nm9430255&Stephen Dorff&
nm9430256&Angela Dorian&
nm9430257&Fifi D\'Orsay&1904
nm9430258&Susana Dosamantes&
nm9430259&Diana Douglas&
nm9430260&Kent Douglas&
nm9430261&Robyn Douglas&
nm9430262&Sarah Douglas&
nm9430263&Ned Dowd&
nm9430264&Betsy Drake&
nm9430265&Paul Drake&
nm9430266&Patrick Dray&
nm9430267&Georgiana Drew&
nm9430268&Lesley Dudley&
nm9430269&Patrick Duffy&
nm9430270&Richard Duggan&
nm9430271&Olympia Dukakis&
nm9430272&David Dukes&
nm9430273&Jane Dulo&
nm9430274&Sandra Dumas&
nm9430275&Gerald duMaurier&
nm9430276&Carmen Duncan&
nm9430277&Isadora Duncan&
nm9430278&Victor Dunlop&
nm9430279&Liam Dunn&
nm9430280&Robert Dunn&
nm9430281&Steve Dunne&
nm9430282&Don Dunphy&
nm9430283&Ann Duprey&
nm9430284&Anthony Durbee&
nm9430285&Monique Dury&
nm9430286&Peter Dvorsky&
nm9430287&Cameron Dye&
nm9430288&Bob Dylan&
nm9430289&Richard Dysart&
nm9430290&William Dysart&
nm9430291&George Dzunda&
nm9430292&George Eastman&
nm9430293&Marilyn Eastman&
nm9430294&Alison Eastwood&
nm9430295&Kimber Eastwood&
nm9430296&Kyle Eastwood&
nm9430297&Shirley Eaton&
nm9430298&Horst Ebersberg&
nm9430299&Christine Ebersole&
nm9430300&Eileen Eckhart&
nm9430301&Gosta Eckman~sr.&
nm9430302&Gosta Eckman&
nm9430303&Hallie Eckstein&
nm9430304&Elizabeth Edmonds&
nm9430305&Anthony Edwards&
nm9430306&Jennifer Edwards&
nm9430307&Luke Edmonds&
nm9430308&Snitz Edwards&
nm9430309&Lisa Eilbacher&
nm9430310&Janet Eilber&
nm9430311&Anthony Eisley&
nm9430312&Ike Eisenmann&
nm9430313&Duke Ellington&
nm9430314&Biff Elliott&
nm9430315&Frank Elliott&
nm9430316&Jane Elliott&
nm9430317&Stephen Elliott&
nm9430318&Robin Ellis&
nm9430319&Art Ellison&
nm9430320&Sallee Elyse&
nm9430321&Michael Emil&
nm9430322&Robert Englund&
nm9430323&Doc Erickson&
nm9430324&Krista Errickson&
nm9430325&Howard Erskine&
nm9430326&Emilio Estevez&
nm9430327&Shari Eubank&
nm9430328&Michael Evans&
nm9430329&Trish Everly&
nm9430330&John Ewart&
nm9430331&Richard Eyer&
nm9430332&Eduardo Fajardo&
nm9430333&Lola Falana&
nm9430334&Fabray Falconetti&
nm9430335&Deborah Fallender&
nm9430336&Dennis Lee Falt&
nm9430337&Daniel Faraldo&
nm9430338&Amy Farber&
nm9430339&Maria Farebrother&
nm9430340&Violet Farebrother&
nm9430341&Antonio Fargas&
nm9430342&Richard Farnsworth&
nm9430343&Dustin Farnum&
nm9430344&Felicia Farr&
nm9430345&Jamie Farr&
nm9430346&Derek Farr&
nm9430347&Nick Farrell&
nm9430348&Sharon Farrell&
nm9430349&Stephanie Farrow&
nm9430350&Tisa Farrow&
nm9430351&Graham Faulkner&
nm9430352&James Faulkner&
nm9430353&Michelle Fawden&
nm9430354&Lynne Federicks&
nm9430355&Birgitte Federspiel&
nm9430356&Frances Feist&
nm9430357&Tovah Feldshuh&
nm9430358&Sylvie Fennec&
nm9430359&Willie Fennell&
nm9430360&Irine Fenwick&
nm9430361&Pamelyn Ferdin&
nm9430362&J. Don Ferguson&
nm9430363&Jane Ferguson&
nm9430364&Wilhelmina Fernandez&
nm9430365&Noel Ferrier&
nm9430366&Lou Ferrigno&
nm9430367&Karen Field&
nm9430368&Edward Fielding&
nm9430369&Margaret Fielding&
nm9430370&Charles Fields&
nm9430371&W.C. Fields&
nm9430372&Tom Filer&
nm9430373&Dennis Fimple&
nm9430374&T.G. Finkbinder&
nm9430375&William Finley&
nm9430376&Warren Finnerty&
nm9430377&Shirley Jo Finney&
nm9430378&Elena Fiore&
nm9430379&Eddie Firestone&
nm9430380&Larry Fishburne&
nm9430381&Cindy Fisher&
nm9430382&Frances Fisher&
nm9430383&Fannie Flagg&
nm9430384&Steve Flagg&
nm9430385&George Buck Flower&
nm9430386&Joel Fluellen&
nm9430387&Leo Fong&
nm9430388&Genevieve Fontanel&
nm9430389&Margot Fonteyn&
nm9430390&David Ford&
nm9430391&Deborah Foreman&
nm9430392&Frederic Forrest&
nm9430393&Mike Forrest&
nm9430394&Constance Forslund&
nm9430395&Henderson Forsythe&
nm9430396&Nick Apollo Forte&
nm9430397&John Foster&
nm9430398&Meg Foster&
nm9430399&Phil Foster&
nm9430400&Robert Foster&
nm9430401&Susannah Fowle&
nm9430402&Bernard Fox&
nm9430403&Rolla France&
nm9430404&Eve Francis&
nm9430405&Ivor Francis&
nm9430406&Jacques Francois&
nm9430407&Ben Frank&
nm9430408&Richard Frank&
nm9430409&Steve Franken&
nm9430410&Paul Frankeur&
nm9430411&Aretha Franklin&
nm9430412&James Franks&
nm9430413&Bill Fraser&
nm9430414&Robert Frazer&
nm9430415&Sheila Frazer&
nm9430416&Lynn Frederick&
nm9430417&Vicki Frederick&
nm9430418&Alan Freed&
nm9430419&Bert Freed&
nm9430420&Paul Freedman&
nm9430421&Amy Freeman&
nm9430422&Paul Freeman&
nm9430423&Morna Freeman&
nm9430424&Morgan Freeman&
nm9430425&Sauri Frey&
nm9430426&Steve Friedman&
nm9430427&John Friedrich&
nm9430428&Gustav Froehlich&
nm9430429&Eric Fryer&
nm9430430&Alan Fudge&
nm9430431&Dale Fuller&
nm9430432&Dolores Fuller&
nm9430433&Lance Fuller&
nm9430434&Jessie Lee Fulton&
nm9430435&Stephen Furst&
nm9430436&Helen Gahagan&
nm9430437&Max Gail&
nm9430438&Charlotte Gainsbourg&
nm9430439&Serge Gainsbourg&
nm9430440&Peter Gallagher&
nm9430441&Michael Gambon&
nm9430442&Robin Gammell&
nm9430443&Ken Gampu&
nm9430444&Abel Gance&
nm9430445&Bruno Ganz&
nm9430446&Teresa Ganzel&
nm9430447&Andres Garcia&
nm9430448&Art Garfunkel&
nm9430449&John Garko&
nm9430450&Steve Garay&
nm9430451&Joaquin Garay~III&
nm9430452&Eliza Garrett&
nm9430453&Leif Garrett&
nm9430454&Ellen Garrison&
nm9430455&Harold Gary&
nm9430456&Lorraine Gary&
nm9430457&Marie-Louise Gassen&
nm9430458&Fernand Gavet&
nm9430459&Erica Gavin&
nm9430460&George Gaynes&
nm9430461&Michael Gazzo&
nm9430462&Ellen Geer&
nm9430463&Laura Gemser&
nm9430464&Linda Gentile&
nm9430465&Nathan George&
nm9430466&Rita George&
nm9430467&Carmelita Geraghty&
nm9430468&Bill Gerber&
nm9430469&Flo Gerish&
nm9430470&John Getz&
nm9430471&Judi Gibbs&
nm9430472&Colin Gibson&
nm9430473&Stefan Gierasch&
nm9430474&Frank Gifford&
nm9430475&Gloria Gifford&
nm9430476&Melissa Gilbert&
nm9430477&Bruce Gilchrist&
nm9430478&Maude Gill&
nm9430479&Dana Gillespie&
nm9430480&Anita Gillette&
nm9430481&Stu Gilliam&
nm9430482&Terry Gilliam&
nm9430483&Virginia Gilmore&
nm9430484&Ian Gilmour&
nm9430485&Robert Ginty&
nm9430486&Anton Glanzelius&
nm9430487&Yves Glary&
nm9430488&Gil Glasco&
nm9430489&Sabine Glaser&
nm9430490&Ron Glass&
nm9430491&Paul Gleason&
nm9430492&Roy Glenister&
nm9430493&Sharon Gless&
nm9430494&Bruce Glover&
nm9430495&Crispin Glover&
nm9430496&John Glover&
nm9430497&Carlin Glynn&
nm9430498&Jacques Godin&
nm9430499&Bernard Goetzke&
nm9430500&John Goff&
nm9430501&Matt Goldsby&
nm9430502&Clio Goldsmith&
nm9430503&Bobcat Goldthwait&
nm9430504&Arlene Golonka&
nm9430505&Peter Gonzales&
nm9430506&Dody Goodman&
nm9430507&Suki Goodwin&
nm9430508&Allen Goorwitz&
nm9430509&Colin Gordin&
nm9430510&Dexter Gordon&
nm9430511&Don Gordon&
nm9430512&Keith Gordon&
nm9430513&Robert Gordon&
nm9430514&Lynee Gorman&
nm9430515&Karen Gorney&
nm9430516&Lou Gossett~jr.&
nm9430517&Walter Gotell&
nm9430518&Jason Gould&
nm9430519&Michael Gover&
nm9430520&Harry Goz&
nm9430521&Nickolas Grace&
nm9430522&Gerrit Graham&
nm9430523&Lee Grant&
nm9430524&Richard E. Grant&
nm9430525&Erin Gray&
nm9430526&Joel Gray&
nm9430527&Gilbert Green&
nm9430528&Keith Green&
nm9430529&Marika Green&
nm9430530&Seth Green&
nm9430531&H.Richard Greene&
nm9430532&Leon Green&
nm9430533&Mean Joe Greene&
nm9430534&Michael Greene&
nm9430535&Clare Greet&
nm9430536&Andre Gregory&
